卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
10000001.jpg _P1,80,72,1161,73,82,1584,1162,1585,
10000002.jpg _P1,83,72,1163,73,83,1584,1164,1585,
10000003.jpg _P1,82,72,1163,72,83,1583,1163,1584,
10000004.jpg _P1,82,72,1163,72,83,1582,1163,1582,
10000005.jpg _P1,80,73,1162,73,81,1583,1162,1584,
10000006.jpg _P1,82,73,1163,72,84,1584,1164,1584,
10000007.jpg _P1,81,73,1162,73,82,1584,1162,1584,
10000008.jpg _P1,82,72,1162,72,82,1583,1162,1583,
10000009.jpg _P1,81,72,1161,72,83,1583,1162,1584,
10000010.jpg _P1,82,73,1163,74,83,1584,1162,1585,
10000011.jpg _P1,81,73,1162,73,82,1583,1162,1584,
10000012.jpg _P1,83,72,1163,73,83,1584,1163,1585,
10000013.jpg _P1,82,73,1162,73,83,1584,1164,1583,
10000014.jpg _P1,82,72,1162,73,83,1583,1163,1583,
10000015.jpg _P1,81,73,1162,74,82,1584,1163,1584,
10000016.jpg _P1,82,73,1163,73,83,1584,1163,1584,
10000017.jpg _P1,80,72,1161,72,82,1583,1162,1584,
10000018.jpg _P1,82,73,1162,73,83,1584,1163,1584,
10000019.jpg _P1,80,72,1161,72,81,1583,1162,1584,
10000020.jpg _P1,82,72,1162,72,83,1582,1163,1583,
10000021.jpg _P1,82,72,1163,74,81,1583,1161,1585,
10000022.jpg _P1,82,72,1163,73,83,1585,1163,1584,
10000023.jpg _P1,81,73,1162,73,81,1585,1162,1585,
10000024.jpg _P1,82,72,1163,73,83,1583,1163,1584,
10000025.jpg _P1,80,72,1161,72,81,1583,1161,1583,
10000026.jpg _P1,82,73,1162,73,84,1584,1162,1584,
10000027.jpg _P1,81,73,1162,73,82,1585,1162,1584,
10000028.jpg _P1,82,72,1163,73,83,1583,1163,1583,
10000029.jpg _P1,80,72,1161,72,82,1584,1161,1583,
10000030.jpg _P1,82,72,1162,73,83,1584,1163,1584,
10000031.jpg _P1,81,73,1161,73,82,1584,1162,1584,
10000032.jpg _P1,82,72,1162,73,83,1584,1163,1584,
10000033.jpg _P1,81,73,1162,73,83,1585,1163,1584,
