卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,列標籤,計數 - 上寬-下寬
10000001.jpg _P1,1081.000463,1512.000331,1512.001323,1080.000463,10000001.jpg _P1,1081,1512,1512,1080,1,0,,-3,1
10000002.jpg _P1,1080.000463,1512.000331,1512,1081.000463,10000002.jpg _P1,1080,1512,1512,1081,-1,0,,-2,124
10000003.jpg _P1,1081,1512,1511.000331,1080.000463,10000003.jpg _P1,1081,1512,1511,1080,1,1,,-1,1414
10000004.jpg _P1,1081,1510,1510.000331,1080,10000004.jpg _P1,1081,1510,1510,1080,1,0,,0,4306
10000005.jpg _P1,1082,1511,1510.000331,1081.000463,10000005.jpg _P1,1082,1511,1510,1081,1,1,,1,3660
10000006.jpg _P1,1081.000463,1512.000331,1511.001324,1080,10000006.jpg _P1,1081,1512,1511,1080,1,1,,2,484
10000007.jpg _P1,1081,1511,1511.000331,1080,10000007.jpg _P1,1081,1511,1511,1080,1,0,,3,11
10000008.jpg _P1,1080,1511,1511,1080,10000008.jpg _P1,1080,1511,1511,1080,0,0,,(空白),
10000009.jpg _P1,1080,1512.000331,1511.001324,1079.000463,10000009.jpg _P1,1080,1512,1511,1079,1,1,,總計,10000
10000010.jpg _P1,1081.000463,1511.000331,1511.000331,1079.000463,10000010.jpg _P1,1081,1511,1511,1079,2,0,,,
10000011.jpg _P1,1081,1511,1510.000331,1080.000463,10000011.jpg _P1,1081,1511,1510,1080,1,1,,,
10000012.jpg _P1,1080.000463,1512,1512,1080.000463,10000012.jpg _P1,1080,1512,1512,1080,0,0,,,
10000013.jpg _P1,1080,1510.001325,1511.000331,1081.000463,10000013.jpg _P1,1080,1510,1511,1081,-1,-1,,,
10000014.jpg _P1,1080.000463,1510.000331,1511.000331,1080,10000014.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000015.jpg _P1,1081.000463,1510.000331,1511.000331,1081,10000015.jpg _P1,1081,1510,1511,1081,0,-1,,,
10000016.jpg _P1,1081,1511,1511.000331,1080,10000016.jpg _P1,1081,1511,1511,1080,1,0,,,
10000017.jpg _P1,1081,1512.000331,1511.001324,1080.000463,10000017.jpg _P1,1081,1512,1511,1080,1,1,,,
10000018.jpg _P1,1080,1511.000331,1511.000331,1080,10000018.jpg _P1,1080,1511,1511,1080,0,0,,,
10000019.jpg _P1,1081,1512.000331,1511.000331,1081.000463,10000019.jpg _P1,1081,1512,1511,1081,0,1,,,
10000020.jpg _P1,1080,1511.000331,1510.000331,1080.000463,10000020.jpg _P1,1080,1511,1510,1080,0,1,,,
10000021.jpg _P1,1081.00185,1511.001324,1511.000331,1080.001852,10000021.jpg _P1,1081,1511,1511,1080,1,0,,,
10000022.jpg _P1,1081.000463,1511,1513.00033,1080.000463,10000022.jpg _P1,1081,1511,1513,1080,1,-2,,,
10000023.jpg _P1,1081,1512,1512,1081,10000023.jpg _P1,1081,1512,1512,1081,0,0,,,
10000024.jpg _P1,1081.000463,1511,1511.000331,1080.000463,10000024.jpg _P1,1081,1511,1511,1080,1,0,,,
10000025.jpg _P1,1081,1511,1511.000331,1080,10000025.jpg _P1,1081,1511,1511,1080,1,0,,,
10000026.jpg _P1,1080,1511,1511.001324,1078,10000026.jpg _P1,1080,1511,1511,1078,2,0,,,
10000027.jpg _P1,1081,1511,1512.000331,1080.000463,10000027.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000028.jpg _P1,1081.000463,1510,1511.000331,1080,10000028.jpg _P1,1081,1510,1511,1080,1,-1,,,
