卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001014889_#2.jpg _P4,1701,96,3164,101,1696,2243,3155,2245,
100001024884_#2.jpg _P4,1702,102,3165,106,1697,2248,3156,2250,
100001034879_#2.jpg _P4,1700,103,3162,107,1695,2250,3152,2252,
100001044874_#2.jpg _P4,1700,103,3162,107,1695,2249,3153,2251,
100001054869_#2.jpg _P4,1700,101,3163,103,1697,2247,3155,2248,
100001064864_#2.jpg _P4,1700,103,3162,106,1695,2250,3154,2251,
100001074859_#2.jpg _P4,1702,103,3164,106,1697,2249,3154,2252,
100001084854_#2.jpg _P4,1702,102,3165,106,1698,2249,3155,2252,
100001094849_#2.jpg _P4,1700,102,3161,105,1696,2249,3153,2250,
100001104887_#2.jpg _P4,1700,102,3163,106,1696,2249,3154,2251,
100001114882_#2.jpg _P4,1701,103,3163,107,1697,2250,3155,2252,
100001124877_#2.jpg _P4,1702,102,3164,106,1697,2249,3155,2251,
100001134872_#2.jpg _P4,1701,102,3163,106,1697,2249,3154,2250,
100001144867_#2.jpg _P4,1702,102,3164,107,1696,2249,3154,2251,
100001154862_#2.jpg _P4,1700,100,3162,102,1697,2247,3154,2248,
100001164857_#2.jpg _P4,1700,103,3162,107,1695,2250,3153,2252,
100001174852_#2.jpg _P4,1701,103,3163,106,1697,2249,3155,2251,
100001184847_#2.jpg _P4,1699,101,3162,105,1695,2248,3152,2250,
100001194842_#2.jpg _P4,1701,102,3163,106,1698,2249,3156,2250,
100001204880_#2.jpg _P4,1702,102,3164,103,1700,2248,3158,2249,
100001214875_#2.jpg _P4,1701,103,3163,106,1696,2250,3154,2252,
100001224870_#2.jpg _P4,1701,103,3163,106,1697,2250,3155,2252,
100001234865_#2.jpg _P4,1702,103,3165,106,1698,2249,3157,2251,
100001244860_#2.jpg _P4,1702,103,3164,105,1698,2249,3156,2250,
100001254855_#2.jpg _P4,1702,103,3164,106,1698,2249,3156,2251,
100001264850_#2.jpg _P4,1700,103,3162,106,1696,2250,3155,2251,
100001274845_#2.jpg _P4,1702,102,3164,104,1699,2249,3157,2249,
100001284840_#2.jpg _P4,1702,103,3165,107,1697,2249,3156,2252,
100001294835_#2.jpg _P4,1700,103,3163,105,1697,2249,3155,2250,
100001304873_#2.jpg _P4,1701,101,3164,104,1698,2248,3156,2249,
100001314868_#2.jpg _P4,1701,103,3162,106,1696,2249,3154,2251,
100001324863_#2.jpg _P4,1702,102,3162,105,1697,2249,3155,2250,
100001334858_#2.jpg _P4,1701,102,3161,105,1696,2249,3154,2251,
100001344853_#2.jpg _P4,1700,102,3160,106,1694,2249,3151,2252,
100001354848_#2.jpg _P4,1700,102,3160,105,1695,2248,3152,2251,
100001364843_#2.jpg _P4,1702,100,3163,103,1698,2247,3155,2249,
100002014878_#2.jpg _P4,1701,101,3162,103,1697,2247,3156,2248,
100002024873_#2.jpg _P4,1702,102,3164,105,1698,2248,3155,2249,
100002034868_#2.jpg _P4,1702,103,3163,105,1698,2249,3157,2250,
100002044863_#2.jpg _P4,1701,103,3163,105,1697,2249,3155,2251,
100002054858_#2.jpg _P4,1699,102,3161,105,1695,2249,3153,2250,
100002064853_#2.jpg _P4,1703,101,3166,106,1698,2248,3155,2251,
100002074848_#2.jpg _P4,1702.923,101.9169,3164,107,1697,2250,3153,2252,
100002084843_#2.jpg _P4,1701,102,3163,106,1695,2249,3153,2252,
100002094838_#2.jpg _P4,1701,101,3163,106,1695,2248,3152,2251,
100002104876_#2.jpg _P4,1701,102,3164,105,1698,2249,3156,2250,
100002114871_#2.jpg _P4,1701,102,3164,105,1698,2249,3155,2250,
100002124866_#2.jpg _P4,1702,103,3164,106,1698,2250,3155,2252,
100002134861_#2.jpg _P4,1700,103,3162,106,1696,2249,3153,2251,
100002144856_#2.jpg _P4,1701,105,3163,107,1698,2251,3156,2252,
100002154851_#2.jpg _P4,1702,102,3164.828,107.1178,1696,2249,3153,2252,
100002164846_#2.jpg _P4,1701,103,3164,106,1697,2250,3155,2252,
100002174841_#2.jpg _P4,1701,103,3164,106,1698,2249,3155,2251,
100002184836_#2.jpg _P4,1700,105,3161,108,1695,2251,3153,2252,
100002194831_#2.jpg _P4,1702,104,3163,107,1698,2251,3156,2252,
100002204869_#2.jpg _P4,1702,105,3164,108,1699,2251,3157,2253,
100002214864_#2.jpg _P4,1701,103,3163,106,1697,2249,3155,2251,
100002224859_#2.jpg _P4,1702,102,3164,106,1697,2249,3155,2252,
