卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,卷號,(全部)
100001014889_#1.jpg _P1,1454.001376,2149.000233,2149.003723,1451.001378,100001014889_#1.jpg _P1,1454,2149,2149,1451,3,0,,,
100001024884_#1.jpg _P1,1454.003095,2149.000931,2148.003724,1452.001377,100001024884_#1.jpg _P1,1454,2149,2148,1452,2,1,,列標籤,計數 - 上寬-下寬
100001034879_#1.jpg _P1,1452.000344,2149.000233,2149.000931,1451.000345,100001034879_#1.jpg _P1,1452,2149,2149,1451,1,0,,-7,1
100001044874_#1.jpg _P1,1453,2149.000233,2149.000233,1451,100001044874_#1.jpg _P1,1453,2149,2149,1451,2,0,,-2,7
100001054869_#1.jpg _P1,1452,2148.000233,2150.00093,1451.001378,100001054869_#1.jpg _P1,1452,2148,2150,1451,1,-2,,-1,30
100001064864_#1.jpg _P1,1453.001376,2149.000931,2149.003723,1451.001378,100001064864_#1.jpg _P1,1453,2149,2149,1451,2,0,,0,304
100001074859_#1.jpg _P1,1453.000344,2148.000233,2150.000233,1451.000345,100001074859_#1.jpg _P1,1453,2148,2150,1451,2,-2,,1,753
100001084854_#1.jpg _P1,1452.001377,2148.002095,2149.003723,1451.003101,100001084854_#1.jpg _P1,1452,2148,2149,1451,1,-1,,2,584
100001094849_#1.jpg _P1,1452.001377,2148.000931,2149.002094,1451.003101,100001094849_#1.jpg _P1,1452,2148,2149,1451,1,-1,,3,106
100001104887_#1.jpg _P1,1453.003097,2149.000931,2149.003723,1451.003101,100001104887_#1.jpg _P1,1453,2149,2149,1451,2,0,,4,9
100001114882_#1.jpg _P1,1453,2148,2149.002094,1450.000345,100001114882_#1.jpg _P1,1453,2148,2149,1450,3,-1,,(空白),
100001124877_#1.jpg _P1,1452,2149,2150.000233,1451.000345,100001124877_#1.jpg _P1,1452,2149,2150,1451,1,-1,,總計,1794
100001134872_#1.jpg _P1,1452.000344,2148.000931,2149.003723,1450.001379,100001134872_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100001144867_#1.jpg _P1,1452,2148.000233,2149.002094,1450.000345,100001144867_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100001154862_#1.jpg _P1,1453.000344,2147.000932,2149.003723,1451.003101,100001154862_#1.jpg _P1,1453,2147,2149,1451,2,-2,,,
100001164857_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100001164857_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001174852_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100001174852_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001184847_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100001184847_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001194842_#1.jpg _P1,1452.000344,2148.000233,2149.000233,1452,100001194842_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
100001204880_#1.jpg _P1,1452.000344,2149.000233,2149.002094,1450.000345,100001204880_#1.jpg _P1,1452,2149,2149,1450,2,0,,,
100001214875_#1.jpg _P1,1452.000344,2149.000233,2149.000931,1451.000345,100001214875_#1.jpg _P1,1452,2149,2149,1451,1,0,,,
100001224870_#1.jpg _P1,1452,2148,2149.000233,1451.000345,100001224870_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001234865_#1.jpg _P1,1451,2148.000233,2149.000233,1451.000345,100001234865_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100001244860_#1.jpg _P1,1452.000344,2148.002095,2149.002094,1452.001377,100001244860_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
100001254855_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100001254855_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001264850_#1.jpg _P1,1453.001376,2148.002095,2149.003723,1452.003099,100001264850_#1.jpg _P1,1453,2148,2149,1452,1,-1,,,
100001274845_#1.jpg _P1,1452,2148.000233,2149.000931,1451.000345,100001274845_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001284840_#1.jpg _P1,1453,2149,2149.000233,1452,100001284840_#1.jpg _P1,1453,2149,2149,1452,1,0,,,
100001294835_#1.jpg _P1,1452,2148.000233,2149.000931,1451.000345,100001294835_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100001304873_#1.jpg _P1,1452,2149,2149,1452,100001304873_#1.jpg _P1,1452,2149,2149,1452,0,0,,,
100001314868_#1.jpg _P1,1451.000345,2148.000931,2149.000931,1451.001378,100001314868_#1.jpg _P1,1451,2148,2149,1451,0,-1,,,
100001324863_#1.jpg _P1,1451,2148.000233,2149.000931,1450.000345,100001324863_#1.jpg _P1,1451,2148,2149,1450,1,-1,,,
100001334858_#1.jpg _P1,1452,2148.000233,2150.00093,1451.001378,100001334858_#1.jpg _P1,1452,2148,2150,1451,1,-2,,,
100001344853_#1.jpg _P1,1451.000345,2148,2150,1451.000345,100001344853_#1.jpg _P1,1451,2148,2150,1451,0,-2,,,
100001354848_#1.jpg _P1,1451,2148.000233,2150.00093,1450.001379,100001354848_#1.jpg _P1,1451,2148,2150,1450,1,-2,,,
100001364843_#1.jpg _P1,1452.000344,2149.000233,2149.002094,1450.000345,100001364843_#1.jpg _P1,1452,2149,2149,1450,2,0,,,
100002014878_#1.jpg _P1,1452.000344,2149.000931,2150.002093,1451.001378,100002014878_#1.jpg _P1,1452,2149,2150,1451,1,-1,,,
100002024873_#1.jpg _P1,1453.001376,2149.000233,2149.003723,1450.001379,100002024873_#1.jpg _P1,1453,2149,2149,1450,3,0,,,
100002034868_#1.jpg _P1,1452.000344,2149.000233,2148.000931,1451,100002034868_#1.jpg _P1,1452,2149,2148,1451,1,1,,,
100002044863_#1.jpg _P1,1453.001376,2149.000233,2149.003723,1450.001379,100002044863_#1.jpg _P1,1453,2149,2149,1450,3,0,,,
100002054858_#1.jpg _P1,1452.001377,2150.00093,2150.003721,1450.001379,100002054858_#1.jpg _P1,1452,2150,2150,1450,2,0,,,
100002064853_#1.jpg _P1,1452.000344,2149.000931,2149.002094,1451.000345,100002064853_#1.jpg _P1,1452,2149,2149,1451,1,0,,,
100002074848_#1.jpg _P1,1452.000344,2149.000233,2149.002094,1450.000345,100002074848_#1.jpg _P1,1452,2149,2149,1450,2,0,,,
100002084843_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100002084843_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100002094838_#1.jpg _P1,1452,2148.000931,2150.002093,1451.001378,100002094838_#1.jpg _P1,1452,2148,2150,1451,1,-2,,,
100002104876_#1.jpg _P1,1452,2148.000931,2150.00093,1452.001377,100002104876_#1.jpg _P1,1452,2148,2150,1452,0,-2,,,
100002114871_#1.jpg _P1,1453,2148,2149.002094,1450.000345,100002114871_#1.jpg _P1,1453,2148,2149,1450,3,-1,,,
100002124866_#1.jpg _P1,1452.000344,2148.000931,2149.002094,1451.001378,100002124866_#1.jpg _P1,1452,2148,2149,1451,1,-1,,,
100002134861_#1.jpg _P1,1451,2148.000233,2150.000233,1451.001378,100002134861_#1.jpg _P1,1451,2148,2150,1451,0,-2,,,
100002144856_#1.jpg _P1,1453,2148.000233,2149.000233,1451.000345,100002144856_#1.jpg _P1,1453,2148,2149,1451,2,-1,,,
100002154851_#1.jpg _P1,1451.000345,2149.000931,2149.000931,1451.000345,100002154851_#1.jpg _P1,1451,2149,2149,1451,0,0,,,
100002164846_#1.jpg _P1,1452,2148.000931,2150.002093,1451.001378,100002164846_#1.jpg _P1,1452,2148,2150,1451,1,-2,,,
100002174841_#1.jpg _P1,1452.000344,2148.000233,2149.000233,1452.001377,100002174841_#1.jpg _P1,1452,2148,2149,1452,0,-1,,,
