卷號,上,右,左,下,
100001014889_#2.jpg _P3,1451.0003445899,2147.00582206942,2146.00209692349,1449.00138026159,
100001024884_#2.jpg _P3,1451.0003445899,2147.00582206942,2147.00209594681,1449.00034506552,
100001034879_#2.jpg _P3,1450.00137930969,2147.00372612625,2147.00372612625,1450.00137930969,
100001044874_#2.jpg _P3,1450.00137930969,2146.0058247824,2147.00372612625,1449.00034506552,
100001054869_#2.jpg _P3,1451,2147.00209594681,2147.00093153217,1450,
100001064864_#2.jpg _P3,1449.00138026159,2146.00372786256,2147.00372612625,1449.00034506552,
100001074859_#2.jpg _P3,1450.00034482755,2147.00582206942,2146.00372786256,1449.00138026159,
100001084854_#2.jpg _P3,1451.0003445899,2147.00582206942,2146.00209692349,1449.00138026159,
100001094849_#2.jpg _P3,1449.00034506552,2146.00372786256,2147.00372612625,1449,
100001104887_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00093196625,1448.00138121481,
100001114882_#2.jpg _P3,1450.00034482755,2148.00581935897,2147.00372612625,1449.00138026159,
100001124877_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00209692349,1449.00138026159,
100001134872_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00209692349,1449.00138026159,
100001144867_#2.jpg _P3,1450.00137930969,2147.00582206942,2146.0058247824,1450.00310344495,
100001154862_#2.jpg _P3,1450,2146.00209692349,2145.00093240073,1449.00034506552,
100001164857_#2.jpg _P3,1450.00137930969,2147.00582206942,2146.00209692349,1448.00310773147,
100001174852_#2.jpg _P3,1451.0003445899,2147.00582206942,2147.00209594681,1449.00034506552,
100001184847_#2.jpg _P3,1450.00034482755,2147.00582206942,2146.00372786256,1449.00138026159,
100001194842_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00209692349,1449.00138026159,
100001204880_#2.jpg _P3,1450,2147.00093153217,2147.00023288308,1449,
100001214875_#2.jpg _P3,1451.0003445899,2147.00582206942,2146.00209692349,1449.00138026159,
100001224870_#2.jpg _P3,1450.00137930969,2147.00372612625,2147.00209594681,1449.00138026159,
100001234865_#2.jpg _P3,1450.00034482755,2147.00372612625,2147.00372612625,1450.00034482755,
100001244860_#2.jpg _P3,1451.0003445899,2147.00372612625,2146.00093196625,1449.00138026159,
100001254855_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00209692349,1449.00138026159,
100001264850_#2.jpg _P3,1450.00137930969,2146.00372786256,2146.00209692349,1449.00138026159,
100001274845_#2.jpg _P3,1450.00034482755,2146.00209692349,2147.00093153217,1449,
100001284840_#2.jpg _P3,1450.00137930969,2146.00372786256,2146.00209692349,1449.00138026159,
100001294835_#2.jpg _P3,1450.00034482755,2146.00209692349,2146.00093196625,1449.00034506552,
100001304873_#2.jpg _P3,1451.0003445899,2147.00372612625,2146.00209692349,1450.00137930969,
100001314868_#2.jpg _P3,1450.00137930969,2146.0058247824,2147.00372612625,1449.00034506552,
100001324863_#2.jpg _P3,1450.00034482755,2147.00582206942,2146.00372786256,1449.00138026159,
100001334858_#2.jpg _P3,1450.00137930969,2147.00582206942,2146.00372786256,1449.00310558673,
100001344853_#2.jpg _P3,1449.00138026159,2147.00838377497,2146.0058247824,1448.00310773147,
100001354848_#2.jpg _P3,1451.0013783591,2146.0058247824,2146.00209692349,1449.00138026159,
100001364843_#2.jpg _P3,1450.00034482755,2147.00372612625,2146.00209692349,1449.00138026159,
100002014878_#2.jpg _P3,1451,2147.00372612625,2146.00093196625,1449.00034506552,
100002024873_#2.jpg _P3,1449.00034506552,2146.00209692349,2146.00209692349,1449.00034506552,
100002034868_#2.jpg _P3,1449.00138026159,2146.00209692349,2147.00372612625,1450.00034482755,
100002044863_#2.jpg _P3,1450.00034482755,2146.00209692349,2146.00209692349,1450.00034482755,
100002054858_#2.jpg _P3,1450.00034482755,2147.00372612625,2147.00209594681,1449.00034506552,
100002064853_#2.jpg _P3,1451.0013783591,2147.00838377497,2146.0058247824,1450.00310344495,
100002074848_#2.jpg _P3,1450.00310344495,2146.0058247824,2147.00372612625,1449.00138026159,
100002084843_#2.jpg _P3,1450.00137930969,2147.00582206942,2146.00372786256,1449.00310558673,
100002094838_#2.jpg _P3,1450.00310344495,2146.01141655864,2146.01141655864,1450.00310344495,
100002104876_#2.jpg _P3,1450.00034482755,2147.00209594681,2147.00093153217,1449.00034506552,
