卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001015889_#2.jpg _P3,153,106,1617,108,146,2251,1609,2252,
100001025884_#2.jpg _P3,152,105,1616,108,147,2251,1609,2253,
100001035879_#2.jpg _P3,154,102,1618,103,151,2248,1613,2248,
100001045874_#2.jpg _P3,154,104,1619,105,153,2251,1616,2250,
100001055869_#2.jpg _P3,153,103,1618,104,150,2250,1614,2250,
100001065864_#2.jpg _P3,154,104,1617,104,153,2251,1615,2249,
100001075859_#2.jpg _P3,153,103,1617,104,151,2250,1614,2249,
100001085854_#2.jpg _P3,154,103,1617,103,153,2250,1615,2249,
100001095849_#2.jpg _P3,154,102,1618,103,150,2249,1612,2249,
100001105887_#2.jpg _P3,153,102,1618,103,151,2249,1614,2249,
100001115882_#2.jpg _P3,151,106,1615,108,146,2252,1608,2253,
100001125877_#2.jpg _P3,152,106,1615,108,147,2252,1608,2253,
100001135872_#2.jpg _P3,154,106,1618,108,150,2252,1612,2253,
100001145867_#2.jpg _P3,153,107,1617,109,148,2253,1610,2254,
100001155862_#2.jpg _P3,153,106,1617,109,147,2252,1610,2254,
100001165857_#2.jpg _P3,151,106,1616,108,148,2253,1610,2253,
100001175852_#2.jpg _P3,154,105,1619,108,150,2252,1611,2252,
100001185847_#2.jpg _P3,155,105,1619,107,150,2252,1612,2252,
100001195842_#2.jpg _P3,154,105,1618,108,149,2252,1612,2253,
100001205880_#2.jpg _P3,153,106,1617,107,149,2251,1611,2252,
100001215875_#2.jpg _P3,153,104,1617,107,148,2250,1610,2252,
100001225870_#2.jpg _P3,153,105,1617,108,150,2251,1612,2253,
100001235865_#2.jpg _P3,155,105,1619,108,150,2252,1613,2253,
100001245860_#2.jpg _P3,155,107,1619,108,151,2253,1614,2254,
100001255855_#2.jpg _P3,152,106,1617,109,147,2251,1610,2254,
100001265850_#2.jpg _P3,154,105,1619,107,150,2251,1612,2253,
100001275845_#2.jpg _P3,151,106,1616,107,147,2252,1609,2253,
100001285840_#2.jpg _P3,152,106,1616,108,148,2252,1609,2254,
100001295835_#2.jpg _P3,153,106,1617,108,149,2252,1611,2253,
100001305873_#2.jpg _P3,153,106,1617,108,150,2252,1612,2254,
100001315868_#2.jpg _P3,153,106,1617,108,149,2252,1612,2253,
100001325863_#2.jpg _P3,152,106,1617,108,148,2253,1611,2254,
100001335858_#2.jpg _P3,153,106,1618,108,148,2252,1611,2254,
100001345853_#2.jpg _P3,153,106,1617,109,149,2252,1611,2254,
100001355848_#2.jpg _P3,154,105,1617,108,148,2252,1610,2254,
100001365843_#2.jpg _P3,153,106,1617,106,150,2252,1612,2252,
100002015878_#2.jpg _P3,154,106,1618,109,149,2252,1610,2253,
100002025873_#2.jpg _P3,153,106,1618,110,148,2252,1611,2255,
100002035868_#2.jpg _P3,152,105,1616,103,154,2252,1615,2250,
100002045863_#2.jpg _P3,153,106,1616,105,154,2253,1615,2251,
100002055858_#2.jpg _P3,154,104,1617,102,156,2252,1617,2248,
100002065853_#2.jpg _P3,153,106,1616,104,154,2253,1616,2250,
100002075848_#2.jpg _P3,151,106,1615,104,153,2254,1615,2251,
100002085843_#2.jpg _P3,152,106,1615,104,154,2253,1616,2250,
100002095838_#2.jpg _P3,153,104,1616,103,154,2252,1615,2250,
100002105876_#2.jpg _P3,153,104,1617,102,154,2252,1617,2249,
100002115871_#2.jpg _P3,152,106,1616,104,154,2253,1615,2250,
100002125866_#2.jpg _P3,152,104,1616,102,154,2251,1616,2249,
100002135861_#2.jpg _P3,155,105,1618,103,157,2253,1618,2250,
100002145856_#2.jpg _P3,153,105,1616,102,154,2252,1617,2249,
100002155851_#2.jpg _P3,152,105,1616,103,154,2252,1616,2249,
100002165846_#2.jpg _P3,152,104,1616,103,153,2252,1615,2250,
100002175841_#2.jpg _P3,152,105,1615,103,154,2252,1616,2249,
100002185836_#2.jpg _P3,154,106,1618,104,156,2253,1618,2251,
100002195831_#2.jpg _P3,151,105,1615,104,152,2252,1614,2250,
100002205869_#2.jpg _P3,153,104,1617,103,154,2251,1615,2249,
100002215864_#2.jpg _P3,153,105,1617,103,155,2252,1617,2249,
100002225859_#2.jpg _P3,153,105,1617,104,154,2252,1616,2250,
100002235854_#2.jpg _P3,152,104,1616,103,154,2252,1616,2249,
100002245849_#2.jpg _P3,153,106,1617,104,156,2253,1617,2250,
100002255844_#2.jpg _P3,154,105,1617,103,155,2252,1617,2250,
100002265839_#2.jpg _P3,153,104,1617,103,153,2251,1616,2249,
100002275834_#2.jpg _P3,152,107,1616,105,154,2254,1617,2251,
100002285829_#2.jpg _P3,152,105,1616,108,147,2252,1609,2253,
100002295824_#2.jpg _P3,152,105,1616,108,146,2252,1608,2254,
100002305862_#2.jpg _P3,152,106,1616,104,155,2253,1617,2250,
100002315857_#2.jpg _P3,154,107,1618,105,156,2254,1618,2251,
100002325852_#2.jpg _P3,153,105,1617,103,154,2252,1617,2250,
100002335847_#2.jpg _P3,152,106,1616,106,151,2253,1614,2252,
100002345842_#2.jpg _P3,152,104,1615,102,154,2252,1615,2249,
