卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,左高-右高,,列標籤,計數 - 上寬-下寬
100001015889_#1.jpg _P1,1464.005464,2150.003721,2144.008396,1462.001368,100001015889_#1.jpg _P1,1464,2150,2144,1462,2,6,,-3,1
100001025884_#1.jpg _P1,1466.001364,2149.002094,2147.008384,1463,100001025884_#1.jpg _P1,1466,2149,2147,1463,3,2,,-2,6
100001035879_#1.jpg _P1,1465,2149.000233,2147.000233,1463.001367,100001035879_#1.jpg _P1,1465,2149,2147,1463,2,2,,-1,105
100001045874_#1.jpg _P1,1464.000342,2150.000233,2148.000233,1464.003074,100001045874_#1.jpg _P1,1464,2150,2148,1464,0,2,,0,525
100001055869_#1.jpg _P1,1463.000342,2150,2147,1463.005468,100001055869_#1.jpg _P1,1463,2150,2147,1463,0,3,,1,726
100001065864_#1.jpg _P1,1464.000342,2149.000233,2148,1463.001367,100001065864_#1.jpg _P1,1464,2149,2148,1463,1,1,,2,349
100001075859_#1.jpg _P1,1463.000342,2149,2148,1463.001367,100001075859_#1.jpg _P1,1463,2149,2148,1463,0,1,,3,37
100001085854_#1.jpg _P1,1462.000342,2150,2148,1462.003078,100001085854_#1.jpg _P1,1462,2150,2148,1462,0,2,,(空白),
100001095849_#1.jpg _P1,1462.000342,2149.000233,2148,1463.001367,100001095849_#1.jpg _P1,1462,2149,2148,1463,-1,1,,總計,1749
100001105887_#1.jpg _P1,1463.000342,2149,2148,1463.001367,100001105887_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100001115882_#1.jpg _P1,1463.000342,2148.002095,2146.002097,1463.000342,100001115882_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100001125877_#1.jpg _P1,1463.000342,2148.002095,2147.002096,1463,100001125877_#1.jpg _P1,1463,2148,2147,1463,0,1,,,
100001135872_#1.jpg _P1,1463.001367,2149.002094,2146.002097,1463.000342,100001135872_#1.jpg _P1,1463,2149,2146,1463,0,3,,,
100001145867_#1.jpg _P1,1462.000342,2149.002094,2147.002096,1462.000342,100001145867_#1.jpg _P1,1462,2149,2147,1462,0,2,,,
100001155862_#1.jpg _P1,1463.000342,2148.002095,2147.003726,1462,100001155862_#1.jpg _P1,1463,2148,2147,1462,1,1,,,
100001165857_#1.jpg _P1,1464.000342,2148.000931,2147.002096,1463,100001165857_#1.jpg _P1,1464,2148,2147,1463,1,1,,,
