卷號,上,右,左,下,
100001015889_#2.jpg _P4,1468.00306539189,2145.03356617094,2144.01492532118,1464.00546447068,
100001025884_#2.jpg _P4,1470.0054421668,2145.04568715913,2145.01142188101,1463.00546820578,
100001035879_#2.jpg _P4,1469.00034036756,2146.02329903475,2145.00372960049,1463.00136705336,
100001045874_#2.jpg _P4,1467.00034083159,2145.00582749791,2144.00209887957,1465,
100001055869_#2.jpg _P4,1467.00034083159,2146.01141655864,2145.00372960049,1464.00136611958,
100001065864_#2.jpg _P4,1468,2145.00839159198,2144.00093283562,1464.00034153001,
100001075859_#2.jpg _P4,1467,2146.01491141138,2145.00372960049,1463.00034176346,
100001085854_#2.jpg _P4,1466,2146.0058247824,2146.00209692349,1464,
100001095849_#2.jpg _P4,1467.00136332588,2146.01491141138,2146.0058247824,1464.00136611958,
100001105887_#2.jpg _P4,1466,2146.00838768165,2146.00372786256,1464,
100001115882_#2.jpg _P4,1467.00306748146,2145.02330989665,2146.00838768165,1463.00136705336,
100001125877_#2.jpg _P4,1467.00306748146,2145.02820494277,2145.01142188101,1463.00307586826,
100001135872_#2.jpg _P4,1466.00306957387,2145.01491836304,2146.00838768165,1464.00136611958,
100001145867_#2.jpg _P4,1466.00306957387,2145.02330989665,2146.01141655864,1463.00136705336,
100001155862_#2.jpg _P4,1467.00306748146,2146.03355052991,2146.01141655864,1462.00307797214,
100001165857_#2.jpg _P4,1467.00306748146,2145.02820494277,2146.00838768165,1462.00136798842,
100001175852_#2.jpg _P4,1467.00545329593,2145.03356617094,2145.01142188101,1462.00547194598,
100001185847_#2.jpg _P4,1467.00545329593,2145.02820494277,2146.01141655864,1463.00307586826,
100001195842_#2.jpg _P4,1467.00306748146,2145.02820494277,2146.01141655864,1463.00136705336,
100001205880_#2.jpg _P4,1466.00306957387,2145.01888103578,2146.00838768165,1463.00136705336,
100001215875_#2.jpg _P4,1467.00545329593,2145.02820494277,2146.01141655864,1463.00307586826,
100001225870_#2.jpg _P4,1467.00306748146,2144.01888984216,2145.00839159198,1464.00136611958,
100001235865_#2.jpg _P4,1467.00136332588,2145.01888103578,2144.00839550595,1464.00307376727,
100001245860_#2.jpg _P4,1466.00034106408,2146.01491141138,2145.00582749791,1463.00136705336,
100001255855_#2.jpg _P4,1467.00306748146,2145.02330989665,2145.00839159198,1463.00307586826,
100001265850_#2.jpg _P4,1466.00306957387,2145.02330989665,2145.00839159198,1462.00307797214,
100001275845_#2.jpg _P4,1466.00306957387,2145.02820494277,2146.01141655864,1462.00136798842,
100001285840_#2.jpg _P4,1467.00306748146,2146.03355052991,2145.01142188101,1462.00547194598,
100001295835_#2.jpg _P4,1466.00136425585,2146.02329903475,2145.01142188101,1463.00307586826,
100001305873_#2.jpg _P4,1466.00136425585,2146.01887223761,2145.00839159198,1463.00307586826,
100001315868_#2.jpg _P4,1466.00136425585,2145.01888103578,2145.00839159198,1463.00136705336,
100001325863_#2.jpg _P4,1466.00306957387,2146.01887223761,2146.00838768165,1463.00307586826,
100001335858_#2.jpg _P4,1465.00307166913,2146.01887223761,2146.01141655864,1463.00307586826,
100001345853_#2.jpg _P4,1466.00306957387,2146.01887223761,2147.00838377497,1463.00136705336,
