卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y
0001_#1.jpg _P1,124,84,1541,86,120,2251,1535,2253
0002_#1.jpg _P1,121,85,1539,86,119,2251,1534,2252
0003_#1.jpg _P1,122,86,1540,87,120,2252,1536,2253
0004_#1.jpg _P1,120,86,1539,86,119,2252,1534,2252
0005_#1.jpg _P1,122,86,1539,88,119,2252,1534,2254
0006_#1.jpg _P1,122,85,1539,87,120,2252,1535,2253
0007_#1.jpg _P1,121,86,1538,87,120,2252,1535,2252
0008_#1.jpg _P1,122,83,1540,86,118,2249,1535,2251
0009_#1.jpg _P1,122,86,1539,88,120,2253,1535,2253
0010_#1.jpg _P1,120,86,1538,87,118,2252,1534,2252
0011_#1.jpg _P1,122,86,1540,88,119,2252,1535,2253
0012_#1.jpg _P1,121,86,1539,87,120,2253,1535,2252
0013_#1.jpg _P1,122,83,1540,86,118,2250,1534,2251
0014_#1.jpg _P1,122,87,1539,89,120,2253,1535,2254
0015_#1.jpg _P1,121,86,1538,87,119,2252,1534,2253
0016_#1.jpg _P1,121,86,1538,88,118,2253,1534,2254
0017_#1.jpg _P1,121,86,1539,88,119,2253,1534,2253
0018_#1.jpg _P1,121,86,1538,87,119,2253,1535,2253
0019_#1.jpg _P1,121,85,1539,87,119,2252,1534,2252
0020_#1.jpg _P1,122,85,1539,87,120,2252,1535,2252
0021_#1.jpg _P1,119,86,1537,87,118.8611,2253.112,1534,2252
0022_#1.jpg _P1,121,82,1538,84,119,2249,1534,2249
0023_#1.jpg _P1,119,86,1538,88,118,2253,1534,2253
0024_#1.jpg _P1,121,86,1539,88,119,2252,1534,2254
0025_#1.jpg _P1,121,86,1540,88,119,2253,1536,2253
0026_#1.jpg _P1,123,83,1541,86,118,2250,1535,2251
0027_#1.jpg _P1,123,84,1542,87,119,2250,1536,2252
0028_#1.jpg _P1,121,85,1539,87,118,2252,1534,2253
0029_#1.jpg _P1,121,85,1539,87,118,2251,1534,2252
0030_#1.jpg _P1,122,83,1539,84,119,2249,1537,2249
0031_#1.jpg _P1,124,86,1541,89,120,2253,1536,2254
0032_#1.jpg _P1,122,84,1540,86,119,2250,1535,2252
0033_#1.jpg _P1,121,86,1538,88,118,2253,1532.919,2254.431
0034_#1.jpg _P1,120,85,1537,87,118,2252,1533,2252
0035_#1.jpg _P1,121,80,1538,82,119,2247,1534,2247
0036_#1.jpg _P1,121,81,1539,82,119,2246,1536,2247
0037_#1.jpg _P1,120,86,1538,86,120,2253,1536,2252
0038_#1.jpg _P1,121,85,1539,87,119,2251,1534,2253
0039_#1.jpg _P1,120,86,1539,88,119,2253,1534,2253
0040_#1.jpg _P1,120,87,1538,88,119,2253,1535,2252
0041_#1.jpg _P1,120,80,1538,81,119,2247,1534,2247
0042_#1.jpg _P1,120,88,1540,89,120,2255,1536,2254
0043_#1.jpg _P1,121,86,1539,87,119,2252,1534,2253
0044_#1.jpg _P1,121,85,1540,87,119,2252,1535,2252
0045_#1.jpg _P1,121,85,1540,87,119,2251,1534,2252
0046_#1.jpg _P1,121,86,1538,87,118,2252,1534,2253
0047_#1.jpg _P1,120,85,1537,87,118,2251,1533,2253
0048_#1.jpg _P1,121,86,1537,88,119,2252,1534,2253
0049_#1.jpg _P1,121,85,1537,86,119,2251,1533,2252
0050_#1.jpg _P1,120,85,1538,87,118,2251,1533,2252
0051_#1.jpg _P1,120,87,1538,88,118,2253,1534,2253
0052_#1.jpg _P1,120,87,1538,88,119,2253,1535,2253
0053_#1.jpg _P1,121,86,1539,88,119,2253,1533,2254
0054_#1.jpg _P1,121,86,1539,88,119,2253,1534,2254
0055_#1.jpg _P1,121,84,1539,86,119,2251,1533,2251
0056_#1.jpg _P1,120,87,1537,87,119,2253,1534,2253
0057_#1.jpg _P1,119,85,1537,86,118,2252,1533,2252
0058_#1.jpg _P1,120,84,1538,85,119,2250,1534,2251
0059_#1.jpg _P1,122,85,1539,87,120,2252,1534,2252
0060_#1.jpg _P1,119,87,1536,88,118,2253,1533,2254
0061_#1.jpg _P1,120,87,1539,88,119,2253,1534,2253
0062_#1.jpg _P1,121,86,1538,87,119,2253,1534,2253
0063_#1.jpg _P1,123,78,1541,81,119,2245,1535,2247
0064_#1.jpg _P1,121,83,1540,86,118,2250,1533,2251
0065_#1.jpg _P1,120,85,1539,87,119,2251,1534,2252
0066_#1.jpg _P1,122,80,1539,82,119,2247,1535,2248
0067_#1.jpg _P1,120,70,1539,69,122,2236,1538,2234
0068_#1.jpg _P1,120,86,1537,87,119,2252,1533,2252
0069_#1.jpg _P1,120,86,1538,86,120,2252,1534,2252
0070_#1.jpg _P1,120,74,1537,73,122,2240,1536,2238
0071_#1.jpg _P1,121,86,1538,88,119,2253,1533,2254
0072_#1.jpg _P1,120,86,1539,87,119,2253,1534,2253
0073_#1.jpg _P1,121,84,1539,87,118,2250,1534,2252
0074_#1.jpg _P1,121,85,1539,87,119,2251,1534,2252
0075_#1.jpg _P1,120,85,1538,87,118,2251,1534,2252
0076_#1.jpg _P1,121,84,1539,86,119,2249,1534,2251
0077_#1.jpg _P1,120,85,1538,87,118,2251,1534,2252
0078_#1.jpg _P1,121,84,1539,85,119,2250,1535,2251
0079_#1.jpg _P1,121,84,1540,86,119,2250,1535,2251
0080_#1.jpg _P1,122,84,1540,87,119,2250,1534,2252
0081_#1.jpg _P1,122,83,1539,86,118,2249,1533,2251
0082_#1.jpg _P1,121,84,1539,86,118,2250,1534,2252
0083_#1.jpg _P1,120,81,1538,82,119,2247,1534,2248
0084_#1.jpg _P1,119,81,1537,82,118,2247,1533,2248
0085_#1.jpg _P1,125,76,1542,80,119,2243,1534,2246
0086_#1.jpg _P1,119,88,1537,89,118,2254,1533,2254
0087_#1.jpg _P1,119,78,1537,78,120,2244,1535,2244
0088_#1.jpg _P1,121,75,1538,77,119,2241,1534,2242
0089_#1.jpg _P1,120,82,1538,83,118,2248,1533,2248
0090_#1.jpg _P1,121,86,1539,87,120,2252,1535,2253
0091_#1.jpg _P1,120,70,1538,71,119,2237,1534,2237
