卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
0001_#2.jpg _P4,1770,85,3191,86,1767,2251,3186,2251,
0002_#2.jpg _P4,1771,86,3191,87,1766,2252,3186,2251,
0003_#2.jpg _P4,1771,86,3191,87,1767,2251,3186,2251,
0004_#2.jpg _P4,1768,86,3190,87,1766,2250,3183,2251,
0005_#2.jpg _P4,1770,82,3191,82,1767,2247,3185,2247,
0006_#2.jpg _P4,1770,85,3190,85,1766,2251,3186,2250,
0007_#2.jpg _P4,1770,86,3190,86,1766,2250,3184,2251,
0008_#2.jpg _P4,1769,87,3190,86,1767,2252,3185,2251,
0009_#2.jpg _P4,1769,85,3190,84,1767,2249,3186,2249,
0010_#2.jpg _P4,1770,85,3190,85,1767,2250,3185,2250,
0011_#2.jpg _P4,1771,85,3191,86,1767,2251,3185,2251,
0012_#2.jpg _P4,1769,84,3189,84,1766,2249,3184,2249,
0013_#2.jpg _P4,1772,80,3192,81,1766,2243,3184,2246,
0014_#2.jpg _P4,1770,86,3189,87,1766,2250,3184,2251,
0015_#2.jpg _P4,1769,86,3188,85,1766,2250,3183,2250,
0016_#2.jpg _P4,1770,85,3190,86,1766,2251,3184,2251,
0017_#2.jpg _P4,1770,87,3190,88,1766,2252,3183,2253,
0018_#2.jpg _P4,1768,86,3189,86,1765,2250,3183,2251,
0019_#2.jpg _P4,1769,87,3189,87,1766,2250,3183,2251,
0020_#2.jpg _P4,1768,86,3188,86,1765,2250,3183,2250,
0021_#2.jpg _P4,1767,84,3188,83,1766,2249,3184,2248,
0022_#2.jpg _P4,1769,85,3190,85,1766,2249,3184,2250,
0023_#2.jpg _P4,1769,85,3192,86,1767,2249,3184,2250,
0024_#2.jpg _P4,1770,86,3192,87,1766,2250,3184,2252,
0025_#2.jpg _P4,1769,86,3191,86,1766,2251,3185,2251,
0026_#2.jpg _P4,1768,85,3190,83,1767,2249,3186,2248,
0027_#2.jpg _P4,1771,86,3193,86,1768,2250,3188,2251,
0028_#2.jpg _P4,1770,87,3191,88,1766,2252,3184,2252,
0029_#2.jpg _P4,1768,85,3190,84,1767,2249,3185,2249,
0030_#2.jpg _P4,1775,85,3196,87,1767,2248,3188,2252,
0031_#2.jpg _P4,1771,87,3191,86,1767,2250,3186,2251,
0032_#2.jpg _P4,1769,86,3190,86,1766,2250,3184,2251,
0033_#2.jpg _P4,1768,85,3188,83,1767,2249,3184,2248,
0034_#2.jpg _P4,1769,86,3189,85,1766,2250,3182,2250,
0035_#2.jpg _P4,1767,85,3186,84,1765,2250,3183,2249,
0036_#2.jpg _P4,1771,85,3190,85,1767,2250,3185,2249,
0037_#2.jpg _P4,1768,86,3189,86,1766,2250,3183,2251,
0038_#2.jpg _P4,1768,87,3189,87,1765,2251,3182,2252,
0039_#2.jpg _P4,1769,86,3189,86,1766,2250,3183,2250,
0040_#2.jpg _P4,1767,86,3188,86,1765,2251,3183,2250,
0041_#2.jpg _P4,1770,86,3190,87,1765,2250,3182,2252,
0042_#2.jpg _P4,1769,87,3190,87,1765,2250,3184,2252,
0043_#2.jpg _P4,1769,85,3189,85,1766,2250,3184,2250,
0044_#2.jpg _P4,1768,86,3189,86,1766,2250,3183,2251,
0045_#2.jpg _P4,1767,85,3189,85,1766,2249,3184,2250,
