卷號,上,右,左,下,
0001_#1.jpg _P2,1413.00318470979,2166.00577099878,2166.00831023337,1414.00318245752,
0002_#1.jpg _P2,1412.00318696524,2166.00207756133,2166.00577099878,1414.00318245752,
0003_#1.jpg _P2,1412.0003541076,2166.00092336084,2165.00369514696,1414.00141442645,
0004_#1.jpg _P2,1413.00318470979,2165.00369514696,2166.00577099878,1414.00141442645,
0005_#1.jpg _P2,1412.00141642988,2165.00207852094,2165.00577366436,1414.00141442645,
0006_#1.jpg _P2,1413.00141542746,2166.00369344099,2166.00577099878,1414.00141442645,
0007_#1.jpg _P2,1413.000353857,2166.00092336084,2165.00369514696,1415.00141342686,
0008_#1.jpg _P2,1413.00141542746,2166.00369344099,2165.0083140718,1415.00318020844,
0009_#1.jpg _P2,1413.000353857,2166.00092336084,2165.00369514696,1415.00141342686,
0010_#1.jpg _P2,1412,2166.00092336084,2165.00369514696,1414.00035360674,
0011_#1.jpg _P2,1413.00141542746,2166.00577099878,2165.0083140718,1414.00318245752,
0012_#1.jpg _P2,1413.00141542746,2165.00092378733,2165.00369514696,1415.00141342686,
0013_#1.jpg _P2,1412.00141642988,2166.00369344099,2165.0083140718,1414.00318245752,
0014_#1.jpg _P2,1413.00141542746,2166.00207756133,2166.00369344099,1414.00141442645,
0015_#1.jpg _P2,1413.00141542746,2165.00207852094,2165.00577366436,1415.00141342686,
0016_#1.jpg _P2,1413.00141542746,2166.00207756133,2166.00577099878,1415.00141342686,
0017_#1.jpg _P2,1413.00141542746,2166.00369344099,2165.00577366436,1414.00318245752,
0018_#1.jpg _P2,1413.00141542746,2165.00092378733,2166.00577099878,1416.0003531073,
0019_#1.jpg _P2,1413.00141542746,2166.00207756133,2165.00577366436,1415.00318020844,
0020_#1.jpg _P2,1412.0003541076,2165.00092378733,2165.00577366436,1415.00035335685,
0021_#1.jpg _P2,1412.0003541076,2165.00023094687,2166.00369344099,1415,
0022_#1.jpg _P2,1414.00035360674,2166.00369344099,2165.00369514696,1414.00141442645,
0023_#1.jpg _P2,1412.0003541076,2165.00092378733,2165.00577366436,1415.00035335685,
0024_#1.jpg _P2,1413.00318470979,2165.00369514696,2166.00577099878,1414.00141442645,
0025_#1.jpg _P2,1412.0003541076,2166.00023084025,2165.00369514696,1415.00141342686,
0026_#1.jpg _P2,1412.00566571101,2165.00577366436,2166.01131114313,1414.00318245752,
0027_#1.jpg _P2,1412.00141642988,2166.00207756133,2166.00831023337,1415.00141342686,
0028_#1.jpg _P2,1413.00141542746,2166.00577099878,2166.00577099878,1413.00141542746,
0029_#1.jpg _P2,1412.00141642988,2166.00369344099,2165.0083140718,1414.00318245752,
